off,def,startTime,endTime,endText,dur,points,actionPlayer,turnover,oRebs,blks,assist,steal,startState,endState,fastBreak,qtr,dFouls,defTeamPts,shots,gameId
29.0,22.0,185.0,169.0,Marc Gasol makes a turnaround jump shot from 8 feet out.,16.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,169.0,153.0,Jeff Green with a defensive rebound.,16.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,153.0,129.0,Meyers Leonard with a defensive rebound.,24.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,129.0,115.0,Damian Lillard makes a layup from 2 feet out.,14.0,2.0,-1.0,False,1.0,0.0,-1.0,False,1.0,2.0,False,2.0,0.0,0.0,"[208994, 208994]",1539622.0
29.0,22.0,115.0,94.0,Courtney Lee makes a pull up jump shot from 6 feet out. Zach Randolph with the assist.,21.0,2.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,94.0,83.0,Vince Carter with a defensive rebound.,11.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,83.0,63.0,Vince Carter makes a driving dunk.,20.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,63.0,42.6,Damian Lillard makes a driving layup from 1 foot out.,20.4,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,42.6,30.7,Courtney Lee makes a pull up jump shot from 17 feet out. Marc Gasol with the assist.,11.9,2.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,30.7,9.5,Zach Randolph with a defensive rebound.,21.2,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,9.5,3.6,Marc Gasol makes free throw 2 of 2.,5.9,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,7.0,False,2.0,2.0,0.0,[],1539622.0
22.0,29.0,3.6,0.0,End of the 2nd Quarter,3.6,0.0,-1.0,False,1.0,0.0,-1.0,False,7.0,9.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,720.0,705.0,Courtney Lee with a defensive rebound.,15.0,0.0,-1.0,False,0.0,0.0,-1.0,False,9.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,705.0,682.0,Marc Gasol makes a jump shot from 21 feet out.,23.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,682.0,676.0,Courtney Lee steals the ball from Damian Lillard.,6.0,0.0,-1.0,True,0.0,0.0,-1.0,True,2.0,5.0,False,3.0,0.0,0.0,[],1539622.0
29.0,22.0,676.0,674.0,Courtney Lee makes free throw 2 of 2.,2.0,2.0,-1.0,False,0.0,0.0,-1.0,False,5.0,7.0,False,3.0,1.0,0.0,[],1539622.0
22.0,29.0,674.0,664.0,Marc Gasol with a defensive rebound.,10.0,0.0,-1.0,False,0.0,0.0,-1.0,False,7.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,664.0,658.0,Courtney Lee is charged with a turnover due to a foul.,6.0,0.0,-1.0,True,0.0,0.0,-1.0,False,1.0,4.0,False,3.0,0.0,0.0,[],1539622.0
22.0,29.0,658.0,637.0,Tony Allen with a defensive rebound.,21.0,0.0,-1.0,False,0.0,0.0,-1.0,False,4.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,637.0,613.0,Marc Gasol makes a reverse layup from 1 foot out.,24.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,3.0,2.0,0.0,[208994],1539622.0
22.0,29.0,613.0,590.0,LaMarcus Aldridge makes a turnaround fade away jump shot from 14 feet out.,23.0,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,590.0,569.0,Marc Gasol makes a driving dunk.,21.0,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,569.0,547.0,Meyers Leonard makes a 3-point jump shot from 26 feet out. Damian Lillard with the assist.,22.0,5.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,3.0,1.0,0.0,[208994],1539622.0
29.0,22.0,547.0,519.0,Damian Lillard with a defensive rebound.,28.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,519.0,509.0,C.J. McCollum makes a 3-point jump shot from 27 feet out. Damian Lillard with the assist.,10.0,3.0,-1.0,False,0.0,0.0,55084.0,False,1.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,509.0,484.0,Nick Calathes makes a floating jump shot from 13 feet out. Tony Allen with the assist.,25.0,2.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,484.0,471.0,Tony Allen steals the ball from Damian Lillard.,13.0,0.0,-1.0,True,0.0,0.0,-1.0,True,2.0,5.0,False,3.0,0.0,0.0,[],1539622.0
29.0,22.0,471.0,461.0,Courtney Lee makes a pull up bank jump shot from 15 feet out. Tony Allen with the assist.,10.0,2.0,-1.0,False,0.0,0.0,55084.0,False,5.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,461.0,440.0,LaMarcus Aldridge makes a jump shot from 20 feet out. Damian Lillard with the assist.,21.0,2.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,440.0,400.0,Nicolas Batum with a defensive rebound.,40.0,0.0,-1.0,False,2.0,1.0,-1.0,False,2.0,1.0,False,3.0,1.0,0.0,"[208994, 208994, 208994]",1539622.0
22.0,29.0,400.0,389.0,Grizzlies with a defensive rebound.,11.0,0.0,-1.0,False,0.0,1.0,-1.0,False,1.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,389.0,372.0,Tony Allen with a bad pass turnover: Bad Pass,17.0,0.0,-1.0,True,0.0,0.0,-1.0,False,1.0,4.0,False,3.0,0.0,0.0,[],1539622.0
22.0,29.0,372.0,365.0,C.J. McCollum makes a 3-point jump shot from 23 feet out. Nicolas Batum with the assist.,7.0,3.0,-1.0,False,0.0,0.0,55084.0,False,4.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,365.0,340.0,Damian Lillard steals the ball from Marc Gasol.,25.0,0.0,-1.0,True,0.0,0.0,-1.0,True,2.0,5.0,False,3.0,0.0,0.0,[],1539622.0
22.0,29.0,340.0,327.0,Marc Gasol with a defensive rebound.,13.0,0.0,-1.0,False,0.0,0.0,-1.0,False,5.0,1.0,False,3.0,1.0,0.0,[208994],1539622.0
29.0,22.0,327.0,295.0,C.J. McCollum with a defensive rebound.,32.0,0.0,-1.0,False,1.0,0.0,-1.0,False,1.0,1.0,False,3.0,0.0,0.0,"[208994, 208994]",1539622.0
22.0,29.0,295.0,288.0,C.J. McCollum makes a 3-point jump shot from 25 feet out.,7.0,3.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,True,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,288.0,267.0,Damian Lillard with a defensive rebound.,21.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,267.0,253.0,Tony Allen with a defensive rebound.,14.0,1.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,3.0,1.0,0.0,[],1539622.0
29.0,22.0,253.0,233.0,Nicolas Batum with a defensive rebound.,20.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,233.0,231.0,Tony Allen steals the ball from Nicolas Batum.,2.0,0.0,-1.0,True,0.0,0.0,-1.0,True,1.0,5.0,False,3.0,0.0,0.0,[],1539622.0
29.0,22.0,231.0,231.0,Marc Gasol is charged with a turnover due to a foul.,0.0,0.0,-1.0,True,0.0,0.0,-1.0,False,5.0,4.0,False,3.0,0.0,0.0,[],1539622.0
22.0,29.0,231.0,219.0,C.J. McCollum makes a 3-point jump shot from 26 feet out. Nicolas Batum with the assist.,12.0,3.0,-1.0,False,0.0,0.0,55084.0,False,4.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,219.0,198.0,Tony Allen makes a tip shot from 1 foot out.,21.0,2.0,-1.0,False,1.0,0.0,-1.0,False,2.0,2.0,False,3.0,0.0,0.0,"[208994, 208994]",1539622.0
22.0,29.0,198.0,185.0,Marc Gasol with a defensive rebound.,13.0,0.0,-1.0,False,1.0,0.0,-1.0,False,2.0,1.0,True,3.0,0.0,0.0,"[208994, 208994]",1539622.0
29.0,22.0,185.0,176.0,Marc Gasol makes a jump shot from 18 feet out. Tony Allen with the assist.,9.0,2.0,-1.0,False,0.0,0.0,55084.0,False,1.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,176.0,153.0,Tony Allen steals the ball from Damian Lillard.,23.0,0.0,-1.0,True,0.0,0.0,-1.0,True,2.0,5.0,False,3.0,1.0,0.0,[],1539622.0
29.0,22.0,153.0,134.0,Zach Randolph is charged with a turnover due to a foul.,19.0,0.0,-1.0,True,1.0,0.0,-1.0,False,5.0,4.0,True,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,134.0,122.0,Marc Gasol with a defensive rebound.,12.0,1.0,-1.0,False,0.0,0.0,-1.0,False,4.0,1.0,False,3.0,1.0,0.0,[208994],1539622.0
29.0,22.0,122.0,110.0,Courtney Lee with a traveling turnover: Traveling,12.0,0.0,-1.0,True,0.0,0.0,-1.0,False,1.0,4.0,False,3.0,0.0,0.0,[],1539622.0
22.0,29.0,110.0,87.0,Beno Udrih with a defensive rebound.,23.0,0.0,-1.0,False,0.0,0.0,-1.0,False,4.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,87.0,73.0,Jeff Green makes free throw 2 of 2.,14.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,7.0,False,3.0,1.0,0.0,[],1539622.0
22.0,29.0,73.0,53.8,Jeff Green with a defensive rebound.,19.2,0.0,-1.0,False,0.0,0.0,-1.0,False,7.0,1.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,53.8,45.2,Courtney Lee makes a layup from 1 foot out.,8.6,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,45.2,36.7,C.J. McCollum makes a driving layup from 1 foot out.,8.5,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
29.0,22.0,36.7,25.1,Marc Gasol makes a jump shot from 13 feet out. Beno Udrih with the assist.,11.6,2.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
22.0,29.0,25.1,2.7,C.J. McCollum makes a pull up jump shot from 20 feet out.,22.4,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,3.0,0.0,0.0,[208994],1539622.0
